TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_KEY,EXTRA
auth_group,id,int,,NO,,PRI,auto_increment
auth_group,name,varchar,150.0,NO,,UNI,
auth_group_permissions,id,bigint,,NO,,PRI,auto_increment
auth_group_permissions,group_id,int,,NO,,MUL,
auth_group_permissions,permission_id,int,,NO,,MUL,
auth_permission,id,int,,NO,,PRI,auto_increment
auth_permission,name,varchar,255.0,NO,,,
auth_permission,content_type_id,int,,NO,,MUL,
auth_permission,codename,varchar,100.0,NO,,,
auth_user,id,int,,NO,,PRI,auto_increment
auth_user,password,varchar,128.0,NO,,,
auth_user,last_login,datetime,,YES,,,
auth_user,is_superuser,tinyint,,NO,,,
auth_user,username,varchar,150.0,NO,,UNI,
auth_user,first_name,varchar,150.0,NO,,,
auth_user,last_name,varchar,150.0,NO,,,
auth_user,email,varchar,254.0,NO,,,
auth_user,is_staff,tinyint,,NO,,,
auth_user,is_active,tinyint,,NO,,,
auth_user,date_joined,datetime,,NO,,,
auth_user_groups,id,bigint,,NO,,PRI,auto_increment
auth_user_groups,user_id,int,,NO,,MUL,
auth_user_groups,group_id,int,,NO,,MUL,
auth_user_user_permissions,id,bigint,,NO,,PRI,auto_increment
auth_user_user_permissions,user_id,int,,NO,,MUL,
auth_user_user_permissions,permission_id,int,,NO,,MUL,
campus_campus,id,bigint,,NO,,PRI,auto_increment
campus_campus,name,varchar,100.0,NO,,UNI,
category_category,id,bigint,,NO,,PRI,auto_increment
category_category,name,varchar,100.0,NO,,,
category_category,image,varchar,200.0,YES,,,
category_category,target_zone_type,varchar,2.0,YES,,,
django_admin_log,id,int,,NO,,PRI,auto_increment
django_admin_log,action_time,datetime,,NO,,,
django_admin_log,object_id,longtext,4294967295.0,YES,,,
django_admin_log,object_repr,varchar,200.0,NO,,,
django_admin_log,action_flag,smallint,,NO,,,
django_admin_log,change_message,longtext,4294967295.0,NO,,,
django_admin_log,content_type_id,int,,YES,,MUL,
django_admin_log,user_id,int,,NO,,MUL,
django_content_type,id,int,,NO,,PRI,auto_increment
django_content_type,app_label,varchar,100.0,NO,,MUL,
django_content_type,model,varchar,100.0,NO,,,
django_migrations,id,bigint,,NO,,PRI,auto_increment
django_migrations,app,varchar,255.0,NO,,,
django_migrations,name,varchar,255.0,NO,,,
django_migrations,applied,datetime,,NO,,,
django_session,session_key,varchar,40.0,NO,,PRI,
django_session,session_data,longtext,4294967295.0,NO,,,
django_session,expire_date,datetime,,NO,,MUL,
observer_observer,id,bigint,,NO,,PRI,auto_increment
observer_observer,name,varchar,100.0,NO,,,
observer_observer,email,varchar,100.0,NO,,,
observer_observer,register_date,datetime,,YES,,,
option_option,id,bigint,,NO,,PRI,auto_increment
option_option,description,varchar,30.0,NO,,,
question_question,id,bigint,,NO,,PRI,auto_increment
question_question,code,varchar,20.0,NO,,,
question_question,question_type,varchar,20.0,NO,,,
question_question,description,longtext,4294967295.0,NO,,,
question_question,parent_question_id,bigint,,YES,,MUL,
question_question,subcategory_id,bigint,,NO,,MUL,
question_question,is_required,tinyint,,NO,,,
question_question,position,double,,NO,,,
question_question,input_type,varchar,3.0,NO,,,
question_question_options,id,bigint,,NO,,PRI,auto_increment
question_question_options,question_id,bigint,,NO,,MUL,
question_question_options,option_id,bigint,,NO,,MUL,
question_question_survey,id,bigint,,NO,,PRI,auto_increment
question_question_survey,question_id,bigint,,NO,,MUL,
question_question_survey,survey_id,bigint,,NO,,MUL,
response_questioncommentanswer,id,bigint,,NO,,PRI,auto_increment
response_questioncommentanswer,comment,longtext,4294967295.0,YES,,,
response_questioncommentanswer,question_id,bigint,,NO,,MUL,
response_questioncommentanswer,visita_id,bigint,,NO,,MUL,
response_response,id,bigint,,NO,,PRI,auto_increment
response_response,numeric_value,int,,YES,,,
response_response,text_value,varchar,30.0,YES,,,
response_response,option_id,bigint,,YES,,MUL,
response_response,question_id,bigint,,NO,,MUL,
response_response,visita_id,bigint,,NO,,MUL,
subcategory_subcategory,id,bigint,,NO,,PRI,auto_increment
subcategory_subcategory,name,varchar,50.0,NO,,,
subcategory_subcategory,category_id,bigint,,NO,,MUL,
survey_survey,id,bigint,,NO,,PRI,auto_increment
survey_survey,name,varchar,50.0,NO,,,
survey_survey,topic,varchar,20.0,NO,,,
survey_survey,version,varchar,10.0,NO,,,
survey_survey,description,varchar,100.0,NO,,,
survey_survey,uploaded_at,datetime,,YES,,,
survey_survey,image_url,varchar,100.0,YES,,,
surveysession_surveysession,id,bigint,,NO,,PRI,auto_increment
surveysession_surveysession,uploaded_at,date,,NO,,,
surveysession_surveysession,url,varchar,100.0,NO,,,
surveysession_surveysession,number_session,int,,NO,,,
surveysession_surveysession,start_date,datetime,,YES,,,
surveysession_surveysession,end_date,datetime,,YES,,,
surveysession_surveysession,observational_distance,varchar,20.0,NO,,,
surveysession_surveysession,visit_number,int,,NO,,,
surveysession_surveysession,state,int,,NO,,,
surveysession_surveysession,observer_id,bigint,,NO,,MUL,
surveysession_surveysession,survey_id,bigint,,NO,,MUL,
surveysession_surveysession,zone_id,bigint,,NO,,MUL,
visit_visit,id,bigint,,NO,,PRI,auto_increment
visit_visit,visit_number,int,,NO,,,
visit_visit,visit_start_date_time,datetime,,YES,,,
visit_visit,visit_end_date_time,datetime,,YES,,,
visit_visit,state,int,,NO,,,
visit_visit,surveysession_id,bigint,,NO,,MUL,
zone_zone,id,bigint,,NO,,PRI,auto_increment
zone_zone,name,varchar,300.0,NO,,,
zone_zone,number,int,,NO,,,
zone_zone,zone_type,varchar,2.0,NO,,,
zone_zone,campus_id,bigint,,YES,,MUL,
